sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos
6006,HP/MAN/53E02/2015/184,31.653028,77.117917,6006 HP/MAN/53E02/2015/184 Himachal Pradesh Mandi 31.653028 77.117917 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6007,HP/KUL/53E06/2016/21,31.653166,77.385799,6007 HP/KUL/53E06/2016/21 Himachal Pradesh Kullu N of Bulbagi 31.653166 77.385799 Rock Slide 2000,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6008,HP/MAN/53E02/2015/182,31.653167,77.119861,6008 HP/MAN/53E02/2015/182 Himachal Pradesh Mandi 31.653167 77.119861 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6009,HP/MAN/53E02/2015/185,31.653389,77.115833,6009 HP/MAN/53E02/2015/185 Himachal Pradesh Mandi 31.653389 77.115833 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6010,HP/KUL/53E06/2016/20,31.654348,77.385958,6010 HP/KUL/53E06/2016/20 Himachal Pradesh Kullu N of Bulbagi 31.654348 77.385958 Rock Slide 2003,2016.0,Himachal Pradesh,,,Rock Slide,Kullu,,,,445.0,424.0,,
6011,HP/MAN/53E02/2015/183,31.655083,77.108139,6011 HP/MAN/53E02/2015/183 Himachal Pradesh Mandi 31.655083 77.108139 Rock cum debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6012,HP/MAN/53E06/2016/88,31.655175,77.394371,6012 HP/MAN/53E06/2016/88 Himachal Pradesh Mandi Maringa 31.655175 77.394371 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
6013,HP/KUL/53E06/2016/128,31.655944,77.317632,6013 HP/KUL/53E06/2016/128 Himachal Pradesh Kullu N of Shikari P.F. 31.655944 77.317632 Rock cum debris Slide NA,2016.0,Himachal Pradesh,,,Debris Slide,Kullu,,,,445.0,424.0,,
6014,HP/MAN/53E02/2015/122,31.656333,77.102417,6014 HP/MAN/53E02/2015/122 Himachal Pradesh Mandi 31.656333 77.102417 Debris Slide NA,2015.0,Himachal Pradesh,,,Debris Slide,Mandi,,,,905.0,868.0,,
6015,HP/MAN/53E06/2016/89,31.657352,77.389573,6015 HP/MAN/53E06/2016/89 Himachal Pradesh Mandi Maringa 31.657352 77.389573 Rock Fall NA,2016.0,Himachal Pradesh,,,Rock Fall,Kullu,,,,445.0,424.0,,
