sl_no,slide_no,latitude,longitude,source_record,year,state,event_date_raw,event_date,movement_type,district,elevation_m,slope_deg,aspect_deg,historical_landslide_count,unique_landslide_locations,aspect_sin,aspect_cos,nearest_road_km,nearest_settlement_km,road_exposure_score,settlement_exposure_score,exposure_score,priority_score,priority_level
11541,KA/DAK/48O08/2017/83,13.075437,75.452689,11541 KA/DAK/48O08/2017/83 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075437 75.452689 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,439.4700622558594,27.409419332730003,327.0666354285045,131.0,128.0,-0.5436632866330591,0.8393034199664269,,,0,0,0.0,29.693537610457504,MONITOR
11542,KA/DAK/48O08/2017/82,13.075631,75.45381,11542 KA/DAK/48O08/2017/82 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075631 75.45381 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,455.5516662597656,8.287425220020506,328.11398811705936,131.0,128.0,-0.5282310521327952,0.8491006745743876,,,0,0,0.0,8.978043988355548,ROUTINE
11543,KA/CHI/48O08/2017/61,13.075699,75.469923,11543 KA/CHI/48O08/2017/61 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.075699 75.469923 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,667.0328979492188,14.476682188883832,242.832726470134,131.0,128.0,-0.8896773155126142,-0.456589831536214,,,0,0,0.0,15.68307237129082,ROUTINE
11544,KA/DAK/48O08/2017/76,13.075713,75.45596,11544 KA/DAK/48O08/2017/76 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075713 75.45596 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,506.4508361816406,22.195462136122146,265.78442092132855,131.0,128.0,-0.997294526436344,-0.0735093704238356,,,0,0,0.0,24.045083980798992,ROUTINE
11545,KA/DAK/48O08/2017/69,13.075714,75.456818,11545 KA/DAK/48O08/2017/69 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075714 75.456818 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,555.3775024414062,27.934882552849736,255.4953733270981,131.0,128.0,-0.9681274188671716,-0.2504581818140264,,,0,0,0.0,30.262789432253882,MONITOR
11546,KA/DAK/48O08/2017/86,13.075811,75.450901,11546 KA/DAK/48O08/2017/86 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.075811 75.450901 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,386.3324890136719,22.372352730412004,316.2733203774585,131.0,128.0,-0.6912189838316467,0.7226453600423556,,,0,0,0.0,24.236715457946335,ROUTINE
11547,KA/CHI/48O08/2017/59,13.07595,75.470398,11547 KA/CHI/48O08/2017/59 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.07595 75.470398 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,671.2997436523438,16.141955833273503,195.07563710167065,131.0,128.0,-0.2600939537924614,-0.9655833134435396,,,0,0,0.0,17.487118819379628,ROUTINE
11548,KA/CHI/48O08/2017/60,13.076021,75.471532,11548 KA/CHI/48O08/2017/60 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.076021 75.471532 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,670.2006225585938,25.857432157968105,136.49516016834116,131.0,128.0,0.6884158463346733,-0.7253162224266844,,,0,0,0.0,28.012218171132112,MONITOR
11549,KA/CHI/48O08/2017/58,13.076035,75.470727,11549 KA/CHI/48O08/2017/58 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.076035 75.470727 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,683.41845703125,22.88230658811849,170.30641427864884,131.0,128.0,0.1683790287285041,-0.9857223253454522,,,0,0,0.0,24.789165470461697,ROUTINE
11550,KA/DAK/48O08/2017/85,13.076068,75.452914,11550 KA/DAK/48O08/2017/85 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.076068 75.452914 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,424.6339416503906,22.71547859114969,285.01116644867307,131.0,128.0,-0.9658753663662958,0.2590072907212727,,,0,0,0.0,24.608435140412166,ROUTINE
11551,KA/DAK/48O08/2017/81,13.076503,75.455661,11551 KA/DAK/48O08/2017/81 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.076503 75.455661 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,475.5666198730469,30.61489759779948,304.3299379229893,131.0,128.0,-0.8258037307396071,0.5639576210111416,,,0,0,0.0,33.166139064282774,MONITOR
11552,KA/CHI/48O08/2017/57,13.076509,75.471719,11552 KA/CHI/48O08/2017/57 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.076509 75.471719 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,681.9271240234375,27.55586147451834,128.38979776148938,131.0,128.0,0.7838040481229558,-0.6210082238956802,,,0,0,0.0,29.852183264061534,MONITOR
11553,KA/DAK/48O08/2017/68,13.076512,75.457142,11553 KA/DAK/48O08/2017/68 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.076512 75.457142 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,563.4182739257812,27.66942807872215,317.01752171581563,131.0,128.0,-0.6817746717067289,0.7315622304487719,,,0,0,0.0,29.975213751948996,MONITOR
11554,KA/DAK/48O08/2017/77,13.076911,75.456287,11554 KA/DAK/48O08/2017/77 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.076911 75.456287 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,510.8779296875,30.5420370146023,282.48998995621264,131.0,128.0,-0.9763338060002166,0.2162690436958823,,,0,0,0.0,33.08720676581916,MONITOR
11555,KA/CHI/48O08/2017/56,13.077058,75.472049,11555 KA/CHI/48O08/2017/56 Karnataka Chikmagalur North East of Nadumane Kotighere Ujire (NH 73) 13.077058 75.472049 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,688.1454467773438,23.8256273140354,143.4693526297724,131.0,128.0,0.5952526826760821,-0.803538576402482,,,0,0,0.0,25.811096256871686,MONITOR
11556,KA/DAK/48O08/2017/65,13.07799,75.461824,11556 KA/DAK/48O08/2017/65 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.07799 75.461824 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,587.080078125,8.102497012252693,210.21217485867288,131.0,128.0,-0.503203586209085,-0.86416789504489,,,0,0,0.0,8.777705096607084,ROUTINE
11557,KA/DAK/48O08/2017/67,13.078082,75.460441,11557 KA/DAK/48O08/2017/67 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.078082 75.460441 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,573.702392578125,6.184708894866775,245.745755485492,131.0,128.0,-0.9117316147132588,-0.4107863955054424,,,0,0,0.0,6.700101302772341,ROUTINE
11558,KA/DAK/48O08/2017/66,13.078177,75.46159,11558 KA/DAK/48O08/2017/66 Karnataka Dakshin Kannad North East of Nadumane Kotighere Ujire (NH 73) 13.078177 75.46159 Debris Slide NA,2017.0,Karnataka,,,Debris Slide,Dakshina Kannada,584.8654174804688,5.656377337049279,220.83340479482752,131.0,128.0,-0.6538618389355433,-0.7566139673465125,,,0,0,0.0,6.127742115136718,ROUTINE
